company_name,company_country,company_employees,company_website,company_status,file_name
"TONOGA, INC.","['New York(NY)', 'UNITED STATES']","['104', 'TACONIC']",https://www.info-clipper.com/en/company/united-states/tonoga-inc.usd18mwm.html,"['PETERSBURG', 'Headquarter']",wissel_aziende_info_clipper
FIRST MTR SOUTH WESTERN TRAINS LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['105', nan]",https://www.info-clipper.com/en/company/united-kingdom/first-mtr-south-western-trains-limited.gbd3lw6qg.html,"['LONDON', 'Single address']",wissel_aziende_info_clipper
PM SRL,"['ITALY', 'ITALY']","['106', nan]",https://www.info-clipper.com/en/company/italy/pm-srl.itd78dcsx.html,"['VIGONOVO', 'Headquarter']",wissel_aziende_info_clipper
KROONPRESS AS,"['ESTONIA', 'ESTONIA']","['107', nan]",https://www.info-clipper.com/en/company/estonia/kroonpress-as.eed952xci.html,"['Tartu, Tartu', 'Single address']",wissel_aziende_info_clipper
EVOQUA WATER TECHNOLOGIES LLC,"['Pennsylvania(PA)', 'UNITED STATES']","['108', nan]",https://www.info-clipper.com/en/company/united-states/evoqua-water-technologies-llc.usd2hs2fi.html,"['PITTSBURGH', 'Headquarter']",wissel_aziende_info_clipper
ABELLIO SCOTRAIL LTD,"['UNITED KINGDOM', 'UNITED KINGDOM']","['109', nan]",https://www.info-clipper.com/en/company/united-kingdom/abellio-scotrail-ltd.gbd3mnavy.html,"['GLASGOW', 'Headquarter']",wissel_aziende_info_clipper
BIOCHEM SRL,"['ITALY', 'ITALY']","['110', nan]",https://www.info-clipper.com/en/company/italy/biochem-srl.itd77bwtu.html,"['ZOLA PREDOSA', 'Headquarter']",wissel_aziende_info_clipper
MAKSEKESKUS HOLDING OU,"['ESTONIA', 'ESTONIA']","['111', nan]",https://www.info-clipper.com/en/company/estonia/maksekeskus-holding-ou.eed8d5c96.html,"['Tallinn', 'Headquarter']",wissel_aziende_info_clipper
INSTITUTIONAL SHAREHOLDER SERVICES INC.,"['Maryland(MD)', 'UNITED STATES']","['112', 'ISS']",https://www.info-clipper.com/en/company/united-states/institutional-shareholder-services-inc.usddrtyjd.html,"['ROCKVILLE', 'Headquarter']",wissel_aziende_info_clipper
DEMEX LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['113', nan]",https://www.info-clipper.com/en/company/united-kingdom/demex-limited.gbd3iw6z4.html,"['ROTHERHAM', 'Headquarter']",wissel_aziende_info_clipper
