company_name,company_industry,company_status,file_name
Bonbon,Telecommunications,Zagreb,MalPatSaj_wikipedia
Brodosplit,Industrials,Split,MalPatSaj_wikipedia
Čakovečki mlinovi,Consumer goods,Čakovec,MalPatSaj_wikipedia
Carlsberg Croatia,Consumer goods,Koprivnica,MalPatSaj_wikipedia
Cedevita,Consumer goods,Zagreb,MalPatSaj_wikipedia
Croatia Airlines,Consumer services,Zagreb,MalPatSaj_wikipedia
Croatia Film,Consumer services,Zagreb,MalPatSaj_wikipedia
Croatia osiguranje,Financials,Zagreb,MalPatSaj_wikipedia
Croatia Records,Consumer services,Zagreb,MalPatSaj_wikipedia
Croatian National Bank,Financials,Zagreb,MalPatSaj_wikipedia
Croatian Radiotelevision,Consumer services,Zagreb,MalPatSaj_wikipedia
Croatian Railways,Industrials,Zagreb,MalPatSaj_wikipedia
Croteam,Technology,Zagreb,MalPatSaj_wikipedia
Crotram,Industrials,Zagreb,MalPatSaj_wikipedia
Dalekovod,Industrials,Zagreb,MalPatSaj_wikipedia
Dallas Records,Consumer services,Zagreb,MalPatSaj_wikipedia
Digitron,Industrials,Buje,MalPatSaj_wikipedia
DOK-ING,Industrials,Zagreb,MalPatSaj_wikipedia
Ðuro Ðaković,Industrials,Slavonski Brod,MalPatSaj_wikipedia
Ericsson Nikola Tesla,Telecommunications,Zagreb,MalPatSaj_wikipedia
European Coastal Airlines,Consumer services,Split,MalPatSaj_wikipedia
Fortenova Group,Consumer goods,Zagreb,MalPatSaj_wikipedia
Franck,Consumer goods,Zagreb,MalPatSaj_wikipedia
Geofoto,Technology,Zagreb,MalPatSaj_wikipedia
Hanza Media,Consumer services,Zagreb,MalPatSaj_wikipedia
Hit Records,Consumer services,Zagreb,MalPatSaj_wikipedia
Hönigsberg & Deutsch,Industrials,Zagreb,MalPatSaj_wikipedia
Hrvatska elektroprivreda,Utilities,Zagreb,MalPatSaj_wikipedia
Hrvatska pošta,Industrials,Zagreb,MalPatSaj_wikipedia
Hrvatska poštanska banka,Financials,Zagreb,MalPatSaj_wikipedia
Hrvatske autoceste,Industrials,Zagreb,MalPatSaj_wikipedia
Hrvatski Telekom,Telecommunications,Zagreb,MalPatSaj_wikipedia
HS Produkt,Industrials,Ozalj,MalPatSaj_wikipedia
IN2,Technology,Zagreb,MalPatSaj_wikipedia
INA,Oil & gas,Zagreb,MalPatSaj_wikipedia
Infobip,Technology,Vodnjan,MalPatSaj_wikipedia
INGRA,Industrials,Zagreb,MalPatSaj_wikipedia
Institut IGH,Industrials,Zagreb,MalPatSaj_wikipedia
Iskon Internet,Technology,Zagreb,MalPatSaj_wikipedia
Jadran Film,Consumer services,Zagreb,MalPatSaj_wikipedia
Jadranski naftovod,Oil & gas,Zagreb,MalPatSaj_wikipedia
Jadrolinija,Industrials,Rijeka,MalPatSaj_wikipedia
Jamnica,Consumer goods,Zagreb,MalPatSaj_wikipedia
Jugoton,Consumer services,Zagreb,MalPatSaj_wikipedia
Karlovačka pivovara,Consumer goods,Karlovac,MalPatSaj_wikipedia
Kandit,Consumer goods,Osijek,MalPatSaj_wikipedia
Koestlin,Consumer goods,Bjelovar,MalPatSaj_wikipedia
KONČAR Group,Industrials,Zagreb,MalPatSaj_wikipedia
Konstruktor-Split,Industrials,Split,MalPatSaj_wikipedia
Konzum,Consumer services,Zagreb,MalPatSaj_wikipedia
Kraljevica Shipyard,Industrials,Kraljevica,MalPatSaj_wikipedia
Kraš,Consumer goods,Zagreb,MalPatSaj_wikipedia
Ledo,Consumer goods,Zagreb,MalPatSaj_wikipedia
Luka Ploče,Industrials,Ploče,MalPatSaj_wikipedia
Matica hrvatska,Consumer services,Zagreb,MalPatSaj_wikipedia
Menart Records,Consumer services,Zagreb,MalPatSaj_wikipedia
Narodni trgovački lanac,Consumer services,Zagreb,MalPatSaj_wikipedia
Odašiljači i veze,Technology,Zagreb,MalPatSaj_wikipedia
Petrokemija,Basic materials,Kutina,MalPatSaj_wikipedia
Pivovara Ličanka,Consumer goods,Gospić,MalPatSaj_wikipedia
Plinacro,Utilities,Zagreb,MalPatSaj_wikipedia
Pliva,Health care,Zagreb,MalPatSaj_wikipedia
Plovput,Industrials,Split,MalPatSaj_wikipedia
Podravka,Consumer goods,Koprivnica,MalPatSaj_wikipedia
Primorska banka,Financials,Rijeka,MalPatSaj_wikipedia
Privredna banka Zagreb,Financials,Zagreb,MalPatSaj_wikipedia
Rimac Automobili,Consumer goods,Sveta Nedelja,MalPatSaj_wikipedia
RIZ,Industrials,Zagreb,MalPatSaj_wikipedia
