company_name,company_market_cap,company_employees,file_name
Ice-cream,India,"['394', '496']",campaignindia
Mobile Service Provider,Malaysia,"['395', '418']",campaignindia
Milk,India,"['396', '273']",campaignindia
Full-service Airlines,China,"['397', '421']",campaignindia
Bank,China,"['398', '458']",campaignindia
Beer,Korea,"['399', '435']",campaignindia
Courier Company,China,"['400', '717']",campaignindia
Cosmetics,"Japan, Taiwan","['401', '257']",campaignindia
Jewellery,"China, Hong Kong","['402', '372']",campaignindia
Milk,Thailand,"['403', '238']",campaignindia
Mineral Water,Malaysia,"['404', '419']",campaignindia
Car/Automobile,Regional,"['405', '610']",campaignindia
Coffee Shop,Japan,"['406', '388']",campaignindia
Petrol/Gas Station,Taiwan,"['407', '384']",campaignindia
Menâs Shoes,Regional,"['408', '417']",campaignindia
Fragrance/Menâs Fashion Retailer,Regional,"['409', '240']",campaignindia
Restaurant Chain,Korea,"['410', '529']",campaignindia
Motorcycle,India,"['411', '563']",campaignindia
Tea,Regional,"['412', '989']",campaignindia
Mineral Water/Carbonated Soft Drink,Hong Kong,"['413', '462']",campaignindia
Mobile Service Provider,Singapore,"['414', '463']",campaignindia
Air Conditioner,"China, Southeast Asia","['415', '570']",campaignindia
Sweets and Candy,"Southeast Asia, Japan","['416', '648']",campaignindia
Tea,"Malaysia, Singapore","['417', '209']",campaignindia
Bank,Japan,"['418', '568']",campaignindia
Restaurant Chain,Thailand,"['419', '503']",campaignindia
Sweets and Candy,"China, Southeast Asia","['420', '279']",campaignindia
Chocolate,Korea,"['421', '415']",campaignindia
Mobile Service Provider,Japan,"['422', '311']",campaignindia
Toothpaste,Australia,"['423', '798']",campaignindia
Toothpaste,"China, Hong Kong","['424', '455']",campaignindia
Toothpaste,"India, Southeast Asia","['425', '777']",campaignindia
Pet Food,Regional,"['426', '285']",campaignindia
Milk Powder,"China, Southeast Asia","['427', '404']",campaignindia
Car/Automobile,India,"['428', '413']",campaignindia
Bank,Singapore,"['429', '607']",campaignindia
Bank,Australia,"['430', '487']",campaignindia
Milk Powder,"China, Singapore","['431', '497']",campaignindia
Chocolate,Regional,"['432', '466']",campaignindia
Courier Company,Taiwan,"['433', '519']",campaignindia
Mobile Phone,Regional,"['434', '293']",campaignindia
Petrol/Gas Station,India,"['435', '642']",campaignindia
Menâs Fashion Retailer,Regional,"['436', '349']",campaignindia
Restaurant Chain,Regional,"['437', '135']",campaignindia
Fruit Juice,"Australia, India","['438', '586']",campaignindia
Social Networking Site,China,"['439', 'New entry']",campaignindia
Chewing/Bubble Gum,"Malaysia, Thailand","['440', '398']",campaignindia
Hotel,Regional,"['441', '673']",campaignindia
Ice-cream,Australia,"['442', '450']",campaignindia
Courier Company,Regional,"['443', '572']",campaignindia
Beer,Regional,"['444', '521']",campaignindia
Fruit Juice,"Australia, Singapore","['445', '523']",campaignindia
Ice-cream,Singapore,"['446', '555']",campaignindia
Bank,Australia,"['447', '498']",campaignindia
Automobile,India,"['448', '256']",campaignindia
Instant Noodles,"China, Hong Kong","['449', '509']",campaignindia
Petrol/Gas Station,"Australia, Hong Kong","['450', '516']",campaignindia
Mobile Service Provider,Taiwan,"['451', '307']",campaignindia
Cosmetics,Korea,"['452', '319']",campaignindia
Full-service Airlines,"India, Hong Kong","['453', '408']",campaignindia
Motorcycle,Taiwan,"['454', '451']",campaignindia
Sauce/Condiment,"Australia, Singapore","['455', '526']",campaignindia
Milk,Hong Kong,"['456', '493']",campaignindia
Supermarket,"China, India, Southeast Asia","['457', '543']",campaignindia
White Goods,Korea,"['458', '470']",campaignindia
Toothpaste,"Australia, Southeast Asia","['459', '581']",campaignindia
Computer,Regional,"['460', '430']",campaignindia
Ice-cream,Hong Kong,"['461', '601']",campaignindia
Budget Airlines,Malaysia,"['462', '518']",campaignindia
Motorcycle,Taiwan,"['463', '459']",campaignindia
Watch,Southeast Asia,"['464', '410']",campaignindia
Sauce/Condiment,Thailand,"['465', 'New entry']",campaignindia
Convenience Store/Supermarket,Australia,"['466', '659']",campaignindia
Insurance,Taiwan,"['467', 'New entry']",campaignindia
Cosmetics,Regional,"['468', '385']",campaignindia
Mineral Water,Regional,"['469', '434']",campaignindia
Courier Company,Korea,"['470', 'New entry']",campaignindia
Snack Food,"China, Southeast Asia","['471', '221']",campaignindia
Social Networking Site,Korea,"['472', '449']",campaignindia
Milk Powder,"China, Southeast Asia","['473', '392']",campaignindia
Shampoo,India,"['474', '802']",campaignindia
Courier Company,Korea,"['475', 'New entry']",campaignindia
Budget Airlines,Korea,"['476', '423']",campaignindia
Full-service Airlines,India,"['477', '580']",campaignindia
Courier Company,Korea,"['478', 'New entry']",campaignindia
Milk,"Malaysia, Singapore","['479', '571']",campaignindia
Fruit Juice,China,"['480', '347']",campaignindia
Mobile Service Provider,Malaysia,"['481', '533']",campaignindia
Instant Noodles,"Korea, China","['482', '574']",campaignindia
Coffee Shop,Taiwan,"['483', '456']",campaignindia
Milk,Taiwan,"['484', '584']",campaignindia
Womenâs Shoes,"Hong Kong, Japan","['485', '553']",campaignindia
Fragrance/Watch,Regional,"['486', '443']",campaignindia
Consumer Electronics,India,"['487', '389']",campaignindia
Menâs and Womenâs Fashion Retailer,Regional,"['488', '348']",campaignindia
Milk,Australia,"['489', '452']",campaignindia
Motorcycle,India,"['490', '365']",campaignindia
Instant Noodles,India,"['491', '589']",campaignindia
Bank,Australia,"['492', '549']",campaignindia
Female Skincare Product,Regional,"['493', '550']",campaignindia
Insurance,Japan,"['494', 'New entry']",campaignindia
Instant Noodles,Korea,"['495', '545']",campaignindia
Fast-Food,Australia,"['496', '800']",campaignindia
Female Skincare Product,Regional,"['497', '414']",campaignindia
Fast-Food,"China, Hong Kong","['498', '617']",campaignindia
Sweets and Candy,"Australia, Hong Kong","['499', '622']",campaignindia
Hotel,Regional,"['500', '556']",campaignindia
Pharmacy/Drugstore,Japan,"['501', '330']",campaignindia
Sporting Apparel,"China, Hong Kong","['502', '468']",campaignindia
Savoury Snack Food,Regional,"['503', '485']",campaignindia
Milk/Milk Powder,Thailand,"['504', '794']",campaignindia
Social Networking Site,Regional,"['505', '504']",campaignindia
Milk Powder/Milk,"Hong Kong, Japan","['506', '166']",campaignindia
Sauce/Condiment,Japan,"['507', '528']",campaignindia
Watch,Regional,"['508', '727']",campaignindia
Credit Card,Japan,"['509', '510']",campaignindia
Sauce/Condiment,"Hong Kong, Taiwan","['510', '538']",campaignindia
Personal portable music player,"China, Korea","['511', '494']",campaignindia
Sauce/Condiment,Japan,"['512', '660']",campaignindia
