company_name,industry,sector,headquarters,file_name
Royal Schiphol Group,Industrials,Transportation services,Schiphol,MalPatSaj_wikipedia
Royal Van Oord,Industrials,Heavy construction,Rotterdam,MalPatSaj_wikipedia
SBM Offshore,Oil & gas,Oil equipment & services,Schiedam,MalPatSaj_wikipedia
Serpent Model Racing Cars,Consumer goods,Recreational products,Heemstede,MalPatSaj_wikipedia
SHV Holdings,Industrials,Diversified industrials,Utrecht,MalPatSaj_wikipedia
SPAR,Consumer goods,Food retailers & wholesalers,Amsterdam,MalPatSaj_wikipedia
Spyker Cars,Consumer goods,Automobiles,Zeewolde,MalPatSaj_wikipedia
Stork B.V.,Industrials,Aerospace,Naarden,MalPatSaj_wikipedia
Talpa Network,Consumer services,Broadcasting & entertainment,Hilversum,MalPatSaj_wikipedia
Tele2 Netherlands,Telecommunications,Fixed line telecommunications,Amsterdam,MalPatSaj_wikipedia
Telfort,Telecommunications,Mobile telecommunications,Alphen aan den Rijn,MalPatSaj_wikipedia
Thales Nederland,Industrials,Defence & Electronics,Hengelo,MalPatSaj_wikipedia
TMF Group,Industrials,Financial administration,Amsterdam,MalPatSaj_wikipedia
TNT Express,Industrials,Delivery services,Hoofddorp,MalPatSaj_wikipedia
TomTom,Technology,Software,Amsterdam,MalPatSaj_wikipedia
Tony's Chocolonely,Consumer goods,Food products,Amsterdam,MalPatSaj_wikipedia
Transavia,Consumer services,Airlines,Schiphol-Oost,MalPatSaj_wikipedia
Triodos Bank,Financials,Banks,Zeist,MalPatSaj_wikipedia
Trust,Technology,Computer hardware,Dordrecht,MalPatSaj_wikipedia
TUI fly Netherlands,Consumer services,Airlines,Schiphol-Rijk,MalPatSaj_wikipedia
Vanguard Dutch Marine,Consumer goods,Recreational products,Heerenveen,MalPatSaj_wikipedia
VDL Bus & Coach,Industrials,Commercial vehicles & trucks,Valkenswaard,MalPatSaj_wikipedia
VDL NedCar,Consumer goods,Automobile,Born,MalPatSaj_wikipedia
Vedior,Industrials,Business training & employment agencies,Amsterdam,MalPatSaj_wikipedia
VEON,Telecommunications,Mobile telecommunications,Amsterdam,MalPatSaj_wikipedia
Verenigde Nederlandse Uitgeverijen,Consumer services,Publishing,Haarlem,MalPatSaj_wikipedia
Vitol,Energy,Oil. gas & coal,Rotterdam,MalPatSaj_wikipedia
Vodafone Netherlands,Telecommunications,Mobile telecommunications,Maastricht,MalPatSaj_wikipedia
VolkerWessels,Industrials,Heavy construction,Amersfoort,MalPatSaj_wikipedia
Wavin,Industrials,Building materials & fixtures,Zwolle,MalPatSaj_wikipedia
WE,Consumer goods,Apparel retailers,Utrecht,MalPatSaj_wikipedia
Wercker,Technology,Software,Amsterdam,MalPatSaj_wikipedia
Wolters Kluwer,Industrials,Business support services,Alphen aan den Rijn,MalPatSaj_wikipedia
Zeeman,Consumer goods,Apparel retailers,Alphen aan den Rijn,MalPatSaj_wikipedia
11 bit studios,Technology,Software,Warsaw,MalPatSaj_wikipedia
4F,Consumer goods,Textile,Wieliczka,MalPatSaj_wikipedia
Adamów Coal Mine,Basic materials,Coal,Turek,MalPatSaj_wikipedia
Agora,Consumer goods and services,Mass media,Warsaw,MalPatSaj_wikipedia
Allegro,Consumer services,E-commerce,Poznań,MalPatSaj_wikipedia
Alior Bank,Financials,Banks,Warsaw,MalPatSaj_wikipedia
Amica,Consumer goods,Durable household products,Wronki,MalPatSaj_wikipedia
Asseco,Technology,Software,Rzeszów,MalPatSaj_wikipedia
Bank Millennium,Financials,Banks,Warsaw,MalPatSaj_wikipedia
Bank Pekao,Financials,Banks,Warsaw,MalPatSaj_wikipedia
Belvedere Vodka,Consumer goods,Brewers,Żyrardów,MalPatSaj_wikipedia
Bełchatów Coal Mine,Basic materials,Coal,Bełchatów,MalPatSaj_wikipedia
Biedronka,Consumer services,Food retailers & wholesalers,Kostrzyn,MalPatSaj_wikipedia
Black Red White,Consumer goods,Household goods,Biłgoraj,MalPatSaj_wikipedia
Bochnia Salt Mine,Basic materials,General mining,Bochnia,MalPatSaj_wikipedia
Bogdanka Coal Mine,Basic materials,Coal,Lublin Voivodeship,MalPatSaj_wikipedia
Boryszew,Automotive industry,Automotive trade,Boryszew,MalPatSaj_wikipedia
Brainly,Technology,Software,Kraków,MalPatSaj_wikipedia
Browar Łomża,Consumer goods,Brewers,Łomża,MalPatSaj_wikipedia
Carlsberg Polska,Consumer goods,Brewers,Warsaw,MalPatSaj_wikipedia
CD Projekt,Technology,Software,Warsaw,MalPatSaj_wikipedia
CIECH,Chemical industry,Specialty chemicals,Łódź,MalPatSaj_wikipedia
Comarch,Technology,Software,Kraków,MalPatSaj_wikipedia
Dino,Consumer services,Food retailers & wholesalers,Krotoszyn,MalPatSaj_wikipedia
E. Wedel,Consumer products,Confectionary,Warsaw,MalPatSaj_wikipedia
Elbrewery,Consumer goods,Brewers,Elbląg,MalPatSaj_wikipedia
Elektrim,Industrials,Diversified industrials,Warsaw,MalPatSaj_wikipedia
Enea SA,Utilities,Conventional Electricity,Poznań,MalPatSaj_wikipedia
Ericpol,Technology,Software,Łódź,MalPatSaj_wikipedia
Eurocash,Consumer services,Food retailers & wholesalers,Komorniki,MalPatSaj_wikipedia
Fablok,Industrials,Commercial vehicles & trucks,Chrzanów,MalPatSaj_wikipedia
Fabryka Samochodów Małolitrażowych,Consumer goods,Automobiles,Bielsko-Biała,MalPatSaj_wikipedia
Fabryka Samochodów Osobowych,Consumer goods,Automobiles,Warsaw,MalPatSaj_wikipedia
FŁT-Kraśnik,Industrials,Diversified industrials,Kraśnik,MalPatSaj_wikipedia
FASING S.A.,Industrials,Diversified industrials,Katowice,MalPatSaj_wikipedia
Gaworzyce mine,Basic materials,Nonferrous metals,Gaworzyce,MalPatSaj_wikipedia
Gaz-System,Utilities,Gas distribution,Warsaw,MalPatSaj_wikipedia
Głogów Głęboki-Przemysłowy mine,Basic materials,Nonferrous metals,Polkowice,MalPatSaj_wikipedia
Grupa Azoty,Chemical industry,Specialty chemicals,Tarnów,MalPatSaj_wikipedia
Grupa Lotos,Oil & gas,Exploration & production,Gdańsk,MalPatSaj_wikipedia
Gubin Coal Mine,Basic materials,Coal,Gubin,MalPatSaj_wikipedia
Halemba Coal Mine,Basic materials,Coal,Ruda Śląska,MalPatSaj_wikipedia
Hortex,Consumer goods,Food products,Warsaw,MalPatSaj_wikipedia
ING Bank Śląski,Financials,Banks,Katowice,MalPatSaj_wikipedia
Inglot,Consumer goods,Cosmetics,Przemyśl,MalPatSaj_wikipedia
InPost,Consumer services,Logistics,Kraków,MalPatSaj_wikipedia
ITI Group,Consumer services,Broadcasting & entertainment,Warsaw,MalPatSaj_wikipedia
Jabłkowski Brothers,Consumer services,Retail,Warsaw,MalPatSaj_wikipedia
JSW,Basic materials,Coal,Jastrzębie-Zdrój,MalPatSaj_wikipedia
K. Rudzki i S-ka,Industrials,Engineering and machinery,Warsaw,MalPatSaj_wikipedia
KGHM Polska Miedź,Basic materials,Nonferrous metals,Lubin,MalPatSaj_wikipedia
Kino Polska,Consumer services,Broadcasting & entertainment,Warsaw,MalPatSaj_wikipedia
Kłodawa Salt Mine,Basic materials,General mining,Kłodawa,MalPatSaj_wikipedia
Kompania Piwowarska,Consumer goods,Brewers,Poznań,MalPatSaj_wikipedia
Kompania Węglowa,Basic materials,Coal,Katowice,MalPatSaj_wikipedia
Lech Browary Wielkopolski,Consumer goods,Brewers,Poznań,MalPatSaj_wikipedia
Lilpop. Rau i Loewenstein,Industrials,Engineering company,Warsaw,MalPatSaj_wikipedia
Livechat Software,Technology,Software,Wrocław,MalPatSaj_wikipedia
LOT Polish Airlines,Consumer services,Airlines,Warsaw,MalPatSaj_wikipedia
LPP,Consumer services,Apparel retailers,Gdańsk,MalPatSaj_wikipedia
Maspex,Food,Food concern,Wadowice,MalPatSaj_wikipedia
Multikino,Consumer services,Recreational services,Warsaw,MalPatSaj_wikipedia
Netia,Telecommunications,Fixed line telecommunications,Warsaw,MalPatSaj_wikipedia
Okocim Brewery,Consumer goods,Brewers,Brzesko,MalPatSaj_wikipedia
Optimus S.A.,Technology,Computer hardware,Warsaw,MalPatSaj_wikipedia
Orange Polska,Telecommunications,Mobile telecommunications,Warsaw,MalPatSaj_wikipedia
Pesa SA,Industrials,Commercial vehicles & trucks,Bydgoszcz,MalPatSaj_wikipedia
PGNiG,Oil & gas,Exploration & production,Warsaw,MalPatSaj_wikipedia
PKN Orlen,Oil & gas,Exploration & production,Płock,MalPatSaj_wikipedia
